Date,type_of_car,Base_Loss_USD,flood_risk_flag,Prob_Cover_Deploy,Depreciation_Timeline_months,Expected_Loss_USD
15/05/2016,Truck,61631,0,0.21,21,40633.66
16/05/2016,Hatchback,28709,0,0.51,35,24386.35
17/05/2016,Sedan,27817,1,0.23,14,21372.59
18/05/2016,Sedan,25745,0,0.54,36,17964.67
19/05/2016,Crossover,42421,0,0.64,58,29767.81
20/05/2016,Crossover,29770,0,0.02,58,19255.41
21/05/2016,SUV,48220,0,0.03,36,34471.26
22/05/2016,Crossover,33908,0,0.39,18,27860.03
23/05/2016,Truck,64287,1,0.54,83,50772.28
24/05/2016,Van,44385,0,0.19,39,27861.56
25/05/2016,Convertible,61059,0,0.9,20,45874.09
26/05/2016,Wagon,37891,0,0.65,43,25261.88
27/05/2016,Pickup,83379,0,0.32,68,60363.25
28/05/2016,Crossover,34191,1,0.66,39,32322.14
29/05/2016,Sedan,19856,1,0.41,65,15682.63
30/05/2016,Pickup,79966,0,0.64,63,63742.66
31/05/2016,Wagon,48857,0,0.31,26,30076.22
01/06/2016,Crossover,33799,1,0.51,73,33417.89
02/06/2016,SUV,46356,0,0.07,17,27500.05
03/06/2016,Sedan,30408,1,0.76,22,26421.79
04/06/2016,Coupe,69655,0,0.76,59,46734.78
05/06/2016,Crossover,40091,0,0.15,29,25056.17
06/06/2016,Convertible,68281,0,0.72,15,63806.62
07/06/2016,SUV,38199,1,0.39,77,31152.72
08/06/2016,Wagon,48362,1,0.76,76,45678.08
09/06/2016,Sedan,26234,0,0.68,55,18666.12
10/06/2016,Crossover,36788,1,0.28,54,29362.44
11/06/2016,Crossover,29618,1,0.61,33,29284.04
12/06/2016,Pickup,76897,0,0.61,21,59402.88
13/06/2016,Coupe,58252,1,0.88,43,54859.52
14/06/2016,Convertible,63542,0,0.18,46,42752.39
15/06/2016,Convertible,64326,0,0.67,56,42338.33
16/06/2016,Van,48314,0,0.7,12,37006.22
17/06/2016,Van,50513,0,0.84,52,37383.16
18/06/2016,Crossover,39249,0,0.31,79,27736.85
19/06/2016,Wagon,40564,0,0.46,30,23311.48
20/06/2016,Convertible,69418,1,0.66,16,64273.57
21/06/2016,Van,40731,0,0.56,19,26359.76
22/06/2016,Truck,63421,0,0.67,79,48524.71
23/06/2016,Truck,48511,0,0.29,38,32180.41
24/06/2016,Van,59904,1,0.45,15,41870.98
25/06/2016,Pickup,65854,0,0.27,34,54693.5
26/06/2016,Hatchback,23185,0,0.29,65,16810.65
27/06/2016,Pickup,82996,0,0.19,72,61892.37
28/06/2016,Truck,55358,1,0.34,47,41776.13
29/06/2016,MISC_VEHICLE,20035,1,0.2,62,16001.75
30/06/2016,Coupe,59213,1,0.62,65,53909.04
01/07/2016,Sedan,30946,0,0.5,43,22097.02
02/07/2016,Pickup,47881,1,0.16,28,31457.39
03/07/2016,Van,43044,0,0.76,76,31685.66
04/07/2016,Truck,57947,1,0.46,77,52683.72
05/07/2016,Convertible,47576,1,0.28,50,35873.39
06/07/2016,Pickup,74696,0,0.16,84,53895.99
07/07/2016,Coupe,41810,1,0.8,74,34082.75
08/07/2016,Convertible,52334,0,0.3,26,39262.35
09/07/2016,Van,37046,0,0.56,46,27238.87
10/07/2016,Crossover,32357,0,0.39,70,23602.14
11/07/2016,Coupe,59337,1,0.2,76,39803.61
12/07/2016,Coupe,77065,0,0.71,30,62465.94
13/07/2016,Crossover,33026,0,0.53,13,24834.98
14/07/2016,Truck,53160,0,0.71,27,49125.76
15/07/2016,Truck,59446,0,0.23,23,32451.56
16/07/2016,Hatchback,36546,0,0.22,68,25849.21
17/07/2016,Hatchback,21165,0,0.34,61,18394.62
18/07/2016,Truck,58658,0,0.75,24,42338.02
19/07/2016,Convertible,60645,0,0.66,65,50448.99
20/07/2016,Van,55553,0,0.8,68,34056.71
21/07/2016,Crossover,38454,1,0.32,73,32642.48
22/07/2016,SUV,47251,0,0.29,60,34767.44
23/07/2016,Truck,58604,0,0.74,13,40741.17
24/07/2016,Crossover,33188,0,0.54,40,21887.27
25/07/2016,Van,47016,0,0.63,30,36892.06
26/07/2016,SUV,47376,0,0.46,17,30242.06
27/07/2016,Crossover,39965,0,0.42,70,28489.37
28/07/2016,SUV,47690,0,0.2,21,29158.84
29/07/2016,Coupe,44839,1,0.21,33,32948.09
30/07/2016,Pickup,81969,0,0.46,18,46414.13
31/07/2016,Van,29095,1,0.39,57,19887.31
01/08/2016,Coupe,46987,0,0.56,38,29182.84
02/08/2016,Truck,64145,0,0.88,39,53718.8
03/08/2016,Van,32963,0,0.3,30,24390.56
04/08/2016,Sedan,27267,0,0.24,51,16420.72
05/08/2016,MISC_VEHICLE,19050,0,0.16,74,12247.08
06/08/2016,Hatchback,25229,1,0.29,61,20832.44
07/08/2016,Crossover,28445,0,0.7,21,22916.3
08/08/2016,Truck,52441,1,0.57,57,44771.68
09/08/2016,Coupe,73027,0,0.93,19,56606.38
10/08/2016,Crossover,38087,0,0.56,71,23558.39
11/08/2016,Coupe,65854,0,0.66,13,50142.38
12/08/2016,Coupe,61316,0,0.45,48,43680.55
13/08/2016,SUV,41679,0,0.66,69,32893.11
14/08/2016,Van,59386,0,0.42,79,37428.85
15/08/2016,Sedan,31532,0,0.11,12,23785.17
16/08/2016,Hatchback,23118,0,0.56,32,19192.99
17/08/2016,Truck,48840,1,0.53,79,35827.41
18/08/2016,Van,30791,0,0.54,34,19537.94
19/08/2016,Crossover,45286,1,0.73,57,34937.93
20/08/2016,Hatchback,22884,0,0.42,72,15903.28
21/08/2016,Truck,63762,0,0.41,16,46961.39
22/08/2016,Sedan,26061,1,0.49,68,24581.16
23/08/2016,Pickup,87933,0,0.49,43,66114.96
24/08/2016,Convertible,69380,0,0.25,77,38058.26
25/08/2016,SUV,51929,0,0.18,43,34165.13
26/08/2016,Crossover,31375,0,0.38,45,18531.43
27/08/2016,Convertible,46737,0,0.37,26,31980.77
28/08/2016,Wagon,52137,1,0.26,44,44472.13
29/08/2016,Truck,46757,0,0.6,76,32891.06
30/08/2016,SUV,38798,0,0.43,59,34402.84
31/08/2016,Sedan,26483,1,0.53,37,24733.48
01/09/2016,Hatchback,35173,0,0.45,64,25916.56
02/09/2016,Sedan,27013,0,0.55,40,18223.66
03/09/2016,Crossover,33937,0,0.55,67,28308.25
04/09/2016,Pickup,80701,1,0.41,62,55536.69
05/09/2016,Convertible,46944,0,0.8,52,37971.97
06/09/2016,Truck,46656,0,0.28,29,39552.59
07/09/2016,SUV,46291,0,0.46,68,35857.09
08/09/2016,Van,40488,1,0.39,56,38074.97
09/09/2016,Van,52850,1,0.21,78,40286.17
10/09/2016,Coupe,48748,0,0.04,73,33430.59
11/09/2016,Van,33490,0,0.58,41,22077.16
12/09/2016,Sedan,22446,1,0.7,59,20575.4
13/09/2016,Wagon,43216,0,0.43,73,34802.76
14/09/2016,Crossover,41115,0,0.44,75,28455.99
15/09/2016,Convertible,45517,0,0.78,40,41174.8
16/09/2016,Convertible,63545,0,0.56,47,54886.68
17/09/2016,Hatchback,23232,0,0.14,19,14987.33
18/09/2016,Pickup,83677,0,0.43,21,61961.12
19/09/2016,Sedan,24669,0,0.5,34,16970.87
20/09/2016,Sedan,21542,0,0.35,78,16613.29
21/09/2016,Sedan,28190,0,0.62,24,19414.43
22/09/2016,Convertible,52925,0,0.71,15,40285.05
23/09/2016,Convertible,51184,1,0.51,44,42553.46
24/09/2016,Sedan,26531,0,0.0,32,15737.72
25/09/2016,Hatchback,20663,1,0.64,67,18558.43
26/09/2016,Wagon,43955,0,0.5,29,28776.42
27/09/2016,Sedan,24604,0,0.68,38,17027.66
28/09/2016,Crossover,30560,0,0.6,27,22442.6
29/09/2016,Sedan,24499,0,0.4,65,16782.21
30/09/2016,Hatchback,21682,0,0.06,35,12619.91
01/10/2016,MISC_VEHICLE,50830,0,0.46,69,35074.18
02/10/2016,Hatchback,23464,0,0.69,30,20037.82
03/10/2016,Crossover,30741,0,0.17,35,16771.1
04/10/2016,SUV,41807,0,0.54,16,31873.81
05/10/2016,SUV,47324,1,0.46,49,44937.43
06/10/2016,SUV,39606,0,0.25,32,24657.01
07/10/2016,Convertible,62519,0,0.64,65,51225.48
08/10/2016,Truck,50429,0,0.08,33,30297.24
09/10/2016,Sedan,33223,0,0.06,44,19944.0
10/10/2016,Wagon,29218,0,0.61,39,21616.73
11/10/2016,SUV,43076,1,0.64,65,42091.56
12/10/2016,Wagon,49284,0,0.74,40,36510.23
13/10/2016,Sedan,25195,0,0.14,57,19314.81
14/10/2016,Convertible,63462,1,0.7,59,55762.13
15/10/2016,Convertible,65742,1,0.05,62,42263.76
16/10/2016,???,43651,0,0.67,19,42593.04
17/10/2016,Hatchback,21956,0,0.29,64,15234.34
18/10/2016,Error,28044,1,0.73,30,19984.87
19/10/2016,MISC_VEHICLE,41264,0,0.35,31,23570.17
20/10/2016,Wagon,42075,0,0.38,14,29411.69
21/10/2016,Pickup,54272,0,0.11,34,31227.7
22/10/2016,Wagon,42763,0,0.11,50,27197.52
23/10/2016,Van,58118,0,0.63,37,43503.47
24/10/2016,SUV,40422,0,0.91,33,33963.68
25/10/2016,Convertible,57319,0,0.53,80,37241.68
26/10/2016,Crossover,29707,0,0.46,55,22156.76
27/10/2016,Convertible,65394,0,0.68,68,47678.85
28/10/2016,Hatchback,26615,0,0.64,59,20959.74
29/10/2016,Wagon,35264,1,0.47,74,28528.83
30/10/2016,Sedan,25092,1,0.25,84,17860.82
31/10/2016,Coupe,61265,0,0.16,59,32360.14
01/11/2016,Convertible,71876,0,0.71,73,51032.05
02/11/2016,Sedan,21165,0,0.36,71,16076.79
03/11/2016,Coupe,61930,0,0.42,43,37605.15
04/11/2016,Coupe,56456,0,0.12,33,39957.23
05/11/2016,Coupe,46644,0,0.28,17,30988.27
06/11/2016,Truck,58976,0,0.39,42,43606.01
07/11/2016,Hatchback,35120,0,0.37,33,20616.27
08/11/2016,Crossover,36874,0,0.53,65,29380.29
09/11/2016,Error,23298,0,0.17,83,14856.21
10/11/2016,Convertible,58374,0,0.78,70,43456.55
11/11/2016,Hatchback,24103,1,0.16,13,17877.88
12/11/2016,Sedan,24978,1,0.61,24,19824.92
13/11/2016,Hatchback,32529,0,0.15,26,23627.33
14/11/2016,Crossover,31819,0,0.21,63,20377.9
15/11/2016,Pickup,70048,1,0.83,55,63764.91
16/11/2016,SUV,37993,0,0.09,68,23694.34
17/11/2016,Sedan,24040,0,0.04,54,18684.09
18/11/2016,Sedan,34119,0,0.73,51,26766.51
19/11/2016,Coupe,50454,0,0.7,65,37418.68
20/11/2016,Sedan,24399,0,0.24,32,17544.46
21/11/2016,Wagon,30501,0,0.38,17,19652.61
22/11/2016,Coupe,41865,1,0.67,79,36440.26
23/11/2016,MISC_VEHICLE,31562,1,0.16,43,23457.38
24/11/2016,Van,36305,0,0.81,67,27046.23
25/11/2016,Sedan,24231,0,0.53,74,17882.66
26/11/2016,Wagon,44852,0,0.18,38,30064.46
27/11/2016,Wagon,52247,0,0.21,36,43546.79
28/11/2016,Truck,46911,0,0.08,84,28918.19
29/11/2016,Wagon,39963,0,0.28,78,30453.18
30/11/2016,Sedan,22977,0,0.84,55,19032.5
01/12/2016,SUV,37764,0,0.5,15,31745.32
02/12/2016,Convertible,51382,0,0.31,41,34431.06
03/12/2016,Hatchback,31152,1,0.65,73,29248.69
04/12/2016,Van,49070,0,0.85,63,36407.96
05/12/2016,Pickup,72746,0,0.37,81,54358.54
06/12/2016,Convertible,49934,0,0.03,34,33040.3
07/12/2016,Error,52585,0,0.89,83,45689.86
08/12/2016,Hatchback,20282,0,0.05,80,10821.38
09/12/2016,???,44439,0,0.56,22,34634.0
10/12/2016,Convertible,47219,1,0.73,75,40914.45
11/12/2016,Coupe,42370,1,0.0,69,29084.31
12/12/2016,SUV,47458,0,0.14,12,30774.97
13/12/2016,Wagon,56955,0,0.38,74,41416.27
14/12/2016,Crossover,32383,1,0.58,19,29496.2
15/12/2016,Sedan,27479,0,0.28,49,18570.45
16/12/2016,Coupe,45025,0,0.13,26,27029.13
17/12/2016,Sedan,26388,0,0.81,17,17543.02
18/12/2016,Crossover,27715,0,0.18,16,15154.27
19/12/2016,Coupe,42742,0,0.84,28,31434.1
20/12/2016,Convertible,59376,0,0.57,74,43727.48
21/12/2016,Truck,64607,0,0.37,43,46570.85
22/12/2016,Wagon,42488,0,0.24,61,24290.76
23/12/2016,MISC_VEHICLE,42768,0,0.52,48,31245.28
24/12/2016,Van,31789,0,0.82,73,23447.27
25/12/2016,Crossover,44645,1,0.48,19,39620.12
26/12/2016,Pickup,44535,0,0.86,68,31768.52
27/12/2016,Crossover,34366,1,0.51,54,27048.95
28/12/2016,Convertible,69431,0,0.88,15,54070.16
29/12/2016,Coupe,77794,1,0.56,84,60938.59
30/12/2016,Van,41549,0,0.25,78,26959.76
31/12/2016,Sedan,30322,1,0.48,52,22370.87
01/01/2017,Coupe,72853,1,0.82,33,72031.54
02/01/2017,Crossover,40501,0,0.42,29,32792.39
03/01/2017,Pickup,62733,0,0.43,58,47123.92
04/01/2017,Unknown,43127,1,0.53,36,35736.08
05/01/2017,MISC_VEHICLE,39983,1,0.0,59,32324.92
06/01/2017,Truck,50112,0,0.57,56,40633.17
07/01/2017,Sedan,26220,1,0.88,53,24175.19
08/01/2017,Sedan,30165,0,0.17,27,17391.02
09/01/2017,Crossover,46123,0,0.44,13,26432.55
10/01/2017,Wagon,45377,0,0.33,23,26225.67
11/01/2017,Sedan,23271,0,0.67,80,14621.6
12/01/2017,Van,32112,0,0.43,41,20939.61
13/01/2017,Crossover,26332,0,0.56,48,20811.35
14/01/2017,Van,45675,0,0.16,32,28061.98
15/01/2017,Convertible,71751,0,0.35,47,51264.36
16/01/2017,SUV,41605,1,0.45,30,36510.41
17/01/2017,Coupe,47613,0,0.34,47,28821.37
18/01/2017,Truck,58227,0,0.8,68,38251.64
19/01/2017,Van,34153,0,0.11,48,20779.44
20/01/2017,Van,57246,1,0.26,20,35465.71
21/01/2017,Convertible,51960,1,0.53,46,46518.85
22/01/2017,Truck,44817,0,0.4,13,35043.45
23/01/2017,Wagon,33169,1,0.36,42,26818.87
24/01/2017,MISC_VEHICLE,29209,0,0.78,37,18481.75
25/01/2017,Sedan,28526,0,0.16,58,20143.45
26/01/2017,Crossover,44450,0,0.08,51,25235.98
27/01/2017,Truck,60540,0,0.79,65,44484.21
28/01/2017,SUV,38463,0,0.06,21,24594.07
29/01/2017,Wagon,52185,0,0.62,53,41331.51
30/01/2017,Coupe,71451,0,0.28,38,45661.22
31/01/2017,SUV,41412,0,0.41,84,31600.81
01/02/2017,Pickup,66055,0,0.19,31,37677.31
02/02/2017,SUV,47797,0,0.61,38,31904.73
03/02/2017,Pickup,47485,0,0.79,39,35035.34
04/02/2017,Convertible,63940,0,0.52,29,38192.48
05/02/2017,SUV,38968,1,0.28,81,29436.36
06/02/2017,Van,39001,0,0.54,67,25734.35
07/02/2017,Sedan,33939,0,0.67,78,24116.76
08/02/2017,Hatchback,29266,0,0.45,81,20205.94
09/02/2017,Sedan,28799,1,0.2,57,22192.28
10/02/2017,Sedan,28648,0,0.38,16,22030.95
11/02/2017,Van,53806,0,0.66,54,43225.76
12/02/2017,Truck,57831,0,0.22,43,41339.0
13/02/2017,???,43522,1,0.56,36,34786.81
14/02/2017,SUV,48240,1,0.16,83,37761.83
15/02/2017,Van,41755,0,0.76,65,37639.75
16/02/2017,Unknown,68656,0,0.77,78,53639.67
17/02/2017,Crossover,45856,0,0.29,81,29389.9
18/02/2017,Truck,48072,0,0.06,31,35170.61
19/02/2017,Van,48671,0,0.65,56,33431.23
20/02/2017,Pickup,86174,0,0.41,54,65798.2
21/02/2017,Van,40000,1,0.07,37,30366.28
22/02/2017,Error,56332,0,0.54,62,39031.59
23/02/2017,Convertible,75597,0,0.21,22,50355.15
24/02/2017,Truck,54393,0,0.66,53,35871.98
25/02/2017,Truck,60038,0,0.26,58,42273.63
26/02/2017,Convertible,56764,1,0.6,23,53983.75
27/02/2017,Hatchback,19255,1,0.91,65,17149.69
28/02/2017,Coupe,71574,0,0.67,22,45370.89
01/03/2017,Pickup,77870,1,0.39,68,57166.39
02/03/2017,Coupe,71746,0,0.38,46,52888.66
03/03/2017,Sedan,33245,0,0.38,56,23820.54
04/03/2017,Wagon,44077,0,0.26,58,27783.07
05/03/2017,Coupe,63207,0,0.64,18,44874.97
06/03/2017,SUV,37567,0,0.14,61,20842.03
07/03/2017,Van,53517,0,0.28,45,35781.9
08/03/2017,Unknown,57223,0,0.12,82,44298.76
09/03/2017,Pickup,70531,0,0.31,47,42149.82
10/03/2017,Pickup,91628,0,0.82,58,66276.61
11/03/2017,Van,54712,0,0.72,59,43008.8
12/03/2017,Van,45609,0,0.53,23,36473.45
13/03/2017,SUV,35334,0,0.62,69,30846.68
14/03/2017,Crossover,34767,0,0.13,30,23771.11
15/03/2017,Hatchback,32355,0,0.36,23,21379.64
16/03/2017,Convertible,48103,1,0.24,40,31388.36
17/03/2017,Hatchback,29229,0,0.24,65,23308.04
18/03/2017,Convertible,73073,0,0.69,69,61446.17
19/03/2017,Crossover,41741,1,0.55,33,36153.46
20/03/2017,Coupe,65303,1,0.5,66,56468.65
21/03/2017,Convertible,54623,0,0.03,60,39363.36
22/03/2017,Coupe,47175,1,0.63,64,39661.23
23/03/2017,Crossover,40064,0,0.65,14,25116.38
24/03/2017,Truck,57043,0,0.8,30,48523.97
25/03/2017,Wagon,48530,0,0.56,62,36610.15
26/03/2017,Wagon,50124,0,0.74,20,44726.38
27/03/2017,Hatchback,25332,0,0.1,52,17960.9
28/03/2017,Sedan,32859,0,0.62,83,23789.97
29/03/2017,Pickup,75086,0,0.32,37,43235.86
30/03/2017,Pickup,45706,0,0.53,80,30546.1
31/03/2017,SUV,38877,0,0.46,29,32401.35
01/04/2017,Pickup,90336,0,0.51,20,60662.51
02/04/2017,Van,57382,0,0.23,78,34358.17
03/04/2017,Coupe,52111,1,0.2,56,44345.59
04/04/2017,Pickup,86644,0,0.56,77,65883.59
05/04/2017,SUV,40379,1,0.15,66,33104.26
06/04/2017,Truck,54190,0,0.84,56,41231.45
07/04/2017,Pickup,85666,0,0.8,34,56382.81
08/04/2017,Truck,55781,1,0.22,71,44458.98
09/04/2017,Truck,58344,1,0.57,60,57686.13
10/04/2017,Truck,59584,0,0.37,49,35248.22
11/04/2017,Convertible,52827,1,0.21,46,44056.25
12/04/2017,Wagon,36439,1,0.58,36,30190.86
13/04/2017,Coupe,42777,0,0.64,34,32993.76
14/04/2017,SUV,44340,0,0.57,34,28433.87
15/04/2017,SUV,38268,0,0.21,53,26801.08
16/04/2017,Van,58782,0,0.45,68,44332.36
17/04/2017,Crossover,28513,0,0.49,31,20142.55
18/04/2017,Hatchback,19354,0,0.47,36,14983.14
19/04/2017,Pickup,75776,1,0.23,17,46653.72
20/04/2017,SUV,50685,0,0.64,35,28794.91
21/04/2017,Sedan,31195,0,0.36,73,20048.14
22/04/2017,Pickup,43999,0,0.52,27,34735.41
23/04/2017,Truck,48630,0,0.26,84,34373.13
24/04/2017,Truck,49395,0,0.25,66,35775.3
25/04/2017,Pickup,54722,0,0.53,81,41554.3
26/04/2017,Convertible,57466,0,0.34,29,37887.83
27/04/2017,Van,34864,1,0.16,74,28745.19
28/04/2017,Pickup,47302,1,0.15,63,32502.13
29/04/2017,Hatchback,17078,1,0.8,24,16885.43
30/04/2017,Crossover,38440,0,0.6,74,27487.03
01/05/2017,Pickup,85895,0,0.19,53,54104.31
02/05/2017,Wagon,43500,0,0.32,84,28335.05
03/05/2017,SUV,40724,0,0.14,51,26958.81
04/05/2017,Hatchback,30136,0,0.77,42,20970.38
05/05/2017,Convertible,58514,0,0.65,81,44890.66
06/05/2017,Truck,46864,0,0.5,70,30167.31
07/05/2017,Wagon,30908,0,0.73,66,21015.95
08/05/2017,Sedan,28085,1,0.44,60,19326.36
09/05/2017,Coupe,60666,1,0.2,53,44898.01
10/05/2017,Convertible,63429,1,0.31,35,41839.99
11/05/2017,Coupe,59734,0,0.51,35,36383.04
12/05/2017,Truck,53328,0,0.67,49,38123.16
13/05/2017,Truck,53444,0,0.72,70,43543.52
14/05/2017,Van,50608,0,0.76,20,42976.15
15/05/2017,Wagon,44552,0,0.57,14,31066.78
16/05/2017,Wagon,47015,1,0.22,82,31261.36
17/05/2017,Pickup,86103,1,0.6,61,69828.32
18/05/2017,Hatchback,33691,0,0.6,59,30991.13
19/05/2017,Van,53577,0,0.54,74,41001.62
20/05/2017,Sedan,21915,0,0.09,61,14178.14
21/05/2017,SUV,42474,0,0.22,61,24794.51
22/05/2017,Wagon,44717,0,0.71,72,41047.22
23/05/2017,Van,59193,0,0.24,82,42907.36
24/05/2017,Pickup,62440,0,0.43,13,37577.62
25/05/2017,Pickup,49574,0,0.3,33,32276.0
26/05/2017,SUV,38316,0,0.29,69,25483.35
27/05/2017,Van,47453,0,0.62,80,31018.77
28/05/2017,Truck,59288,0,0.7,77,43078.71
29/05/2017,Van,36985,1,0.58,66,35133.49
30/05/2017,Sedan,31868,1,0.51,15,25282.11
31/05/2017,SUV,40094,0,0.48,39,25831.17
01/06/2017,Convertible,73743,1,0.06,45,47530.44
02/06/2017,Crossover,33943,0,0.31,29,25096.77
03/06/2017,Sedan,21543,0,0.73,29,17997.58
04/06/2017,Truck,47199,0,0.18,82,33013.05
05/06/2017,Crossover,45301,0,0.39,60,32976.5
06/06/2017,Hatchback,20275,0,0.0,53,13915.72
07/06/2017,Truck,56989,0,0.73,49,51929.23
08/06/2017,Coupe,41043,0,0.53,82,27571.52
09/06/2017,Pickup,81663,0,0.31,33,56941.0
10/06/2017,Truck,52589,0,0.79,41,38714.32
11/06/2017,Convertible,54797,0,0.46,67,36036.72
12/06/2017,Wagon,31265,0,0.06,46,19838.14
13/06/2017,Sedan,30519,0,0.17,62,20197.52
14/06/2017,Hatchback,29135,0,0.26,65,19088.52
15/06/2017,Sedan,32117,1,0.8,70,29739.78
16/06/2017,Hatchback,19383,0,0.33,79,15226.23
17/06/2017,Convertible,64893,0,0.13,23,41807.6
18/06/2017,N/A,87386,0,0.26,69,52447.58
19/06/2017,SUV,37235,0,0.22,37,24680.05
20/06/2017,Crossover,35278,0,0.58,68,28994.81
21/06/2017,SUV,36384,1,0.32,49,33346.71
22/06/2017,Crossover,39471,0,0.18,45,27710.67
23/06/2017,Pickup,62509,1,0.58,54,53345.5
24/06/2017,Sedan,25281,0,0.63,21,18441.54
25/06/2017,SUV,45942,1,0.38,74,31646.51
26/06/2017,Truck,56624,1,0.53,43,48517.04
27/06/2017,Sedan,27476,0,0.52,47,16786.09
28/06/2017,Pickup,50822,0,0.16,36,35323.05
29/06/2017,Hatchback,24036,0,0.23,28,12829.89
30/06/2017,Pickup,58100,0,0.27,20,35698.77
01/07/2017,Sedan,25482,0,0.62,69,20434.66
02/07/2017,Hatchback,32531,0,0.08,28,18946.98
03/07/2017,Van,31775,0,0.17,25,18886.29
04/07/2017,Error,53129,0,0.4,58,36671.56
05/07/2017,Pickup,51316,0,0.53,30,37488.11
06/07/2017,Crossover,39333,0,0.25,60,27121.19
07/07/2017,Hatchback,32589,1,0.44,44,23899.42
08/07/2017,Wagon,51408,0,0.83,83,42230.19
09/07/2017,Hatchback,33169,0,0.61,35,22416.21
10/07/2017,Unknown,27437,0,0.28,27,16584.91
11/07/2017,Convertible,58224,0,0.33,82,48602.56
12/07/2017,Crossover,31518,0,0.56,56,21536.73
13/07/2017,Truck,51128,0,0.33,13,30036.41
14/07/2017,Sedan,32588,1,0.32,37,29288.69
15/07/2017,Van,40580,0,0.75,34,34252.63
16/07/2017,SUV,48880,1,0.76,66,42234.12
17/07/2017,SUV,43882,1,0.38,45,37791.16
18/07/2017,Coupe,45535,1,0.19,23,36280.37
19/07/2017,Coupe,71851,0,0.33,59,44891.99
20/07/2017,Van,53409,1,0.12,18,42450.36
21/07/2017,Truck,56803,0,0.61,20,45217.86
22/07/2017,Coupe,75109,0,0.64,49,60605.82
23/07/2017,Wagon,49016,0,0.9,25,40041.16
24/07/2017,Coupe,39296,0,0.33,21,29633.63
25/07/2017,Sedan,32734,0,0.45,23,17961.35
26/07/2017,Crossover,42949,0,0.53,15,34608.66
27/07/2017,Truck,64054,0,0.72,17,39431.56
28/07/2017,Truck,66040,0,0.15,13,43039.36
29/07/2017,Hatchback,18424,0,0.63,19,15205.52
30/07/2017,Crossover,38515,0,0.38,32,27223.7
31/07/2017,Convertible,56319,1,0.57,12,45736.97
01/08/2017,Coupe,40865,1,0.23,73,32308.27
02/08/2017,Sedan,27998,0,0.37,83,18032.93
03/08/2017,Coupe,57075,0,0.31,44,44027.41
04/08/2017,Wagon,31917,0,0.83,59,24800.98
05/08/2017,Crossover,35075,0,0.82,36,29979.44
06/08/2017,SUV,42640,0,0.72,42,30562.54
07/08/2017,Wagon,50215,0,0.38,46,35283.52
08/08/2017,Coupe,77263,0,0.27,41,46308.76
09/08/2017,Crossover,38021,1,0.62,47,30709.14
10/08/2017,Wagon,52437,0,0.57,30,35754.35
11/08/2017,Coupe,61748,0,0.89,64,42349.65
12/08/2017,SUV,37651,0,0.18,65,28013.11
13/08/2017,Truck,49482,0,0.57,13,35557.66
14/08/2017,SUV,45397,1,0.48,18,35101.97
15/08/2017,Wagon,40787,0,0.64,71,32040.8
16/08/2017,Hatchback,27012,0,0.69,52,22375.22
17/08/2017,SUV,34576,0,0.7,51,25529.08
18/08/2017,Truck,54606,0,0.2,81,34984.41
19/08/2017,Crossover,37188,0,0.4,51,24876.98
20/08/2017,Van,34864,0,0.18,36,18248.42
21/08/2017,Crossover,29381,0,0.44,80,22618.8
22/08/2017,Coupe,43481,1,0.2,69,37390.54
23/08/2017,Crossover,38993,0,0.19,67,24426.33
24/08/2017,Hatchback,33341,1,0.56,16,27456.91
25/08/2017,Coupe,60104,0,0.72,29,43073.64
26/08/2017,Van,37288,0,0.29,78,28408.41
27/08/2017,Hatchback,24094,0,0.5,15,18146.86
28/08/2017,SUV,48638,0,0.81,80,33601.9
29/08/2017,Sedan,31436,0,0.25,46,21444.27
30/08/2017,Unknown,46414,0,0.31,60,27570.72
31/08/2017,Van,57201,0,0.83,42,40566.22
01/09/2017,Truck,51296,0,0.6,68,43400.66
02/09/2017,Van,50546,0,0.43,47,31783.29
03/09/2017,Sedan,27469,1,0.68,60,25200.03
04/09/2017,Hatchback,23209,1,0.31,64,18613.47
05/09/2017,Convertible,67832,0,0.39,28,40856.83
06/09/2017,Truck,55712,0,0.2,47,31914.1
07/09/2017,Van,34514,0,0.32,55,23507.9
08/09/2017,SUV,46161,0,0.65,53,35575.31
09/09/2017,Convertible,61236,0,0.2,71,36923.67
10/09/2017,Hatchback,33186,0,0.67,60,18720.02
11/09/2017,Hatchback,21167,0,0.53,72,17306.21
12/09/2017,Truck,46811,0,0.14,73,34816.77
13/09/2017,Sedan,27108,0,0.3,17,16996.57
14/09/2017,Convertible,51517,0,0.77,67,37770.47
15/09/2017,Van,50436,0,0.76,16,39999.51
16/09/2017,SUV,49935,0,0.28,76,38267.74
17/09/2017,Crossover,35629,0,0.32,66,20290.05
18/09/2017,SUV,39910,0,0.61,81,31696.61
19/09/2017,Sedan,23559,0,0.53,18,18814.46
20/09/2017,Crossover,45640,0,0.03,58,32063.16
21/09/2017,Van,44587,0,0.79,82,31010.02
22/09/2017,Van,37638,0,0.84,80,31354.75
23/09/2017,Van,46725,0,0.21,35,33415.55
24/09/2017,SUV,43002,1,0.67,28,42517.13
25/09/2017,Truck,52366,1,0.07,20,39984.96
26/09/2017,Wagon,50604,1,0.51,31,40465.53
27/09/2017,Sedan,29622,0,0.06,73,19421.44
28/09/2017,Coupe,68259,1,0.28,29,56284.1
